Time	MissNT3	MissNT4	MissNT5	MissVM3	MissVM4	MissVM5
0.0584099,	0.155437,	0.15241,	0.149428,	56.0113,	54.3591,	52.7402
0.0586099,	0.156472,	0.153415,	0.150402,	56.1861,	54.523,	52.8935
0.0588099,	0.15751,	0.154422,	0.15138,	56.3607,	54.6867,	53.0466
0.0590099,	0.158551,	0.155432,	0.15236,	56.5352,	54.8503,	53.1996
0.0592099,	0.159596,	0.156446,	0.153343,	56.7097,	55.0137,	53.3524
0.0594099,	0.160644,	0.157462,	0.154328,	56.884,	55.177,	53.505
0.0596099,	0.161695,	0.158482,	0.155317,	57.0582,	55.3401,	53.6575
0.0598099,	0.162749,	0.159504,	0.156308,	57.2323,	55.5032,	53.8097
0.0600099,	0.163807,	0.16053,	0.157302,	57.4062,	55.666,	53.9618
0.0602099,	0.164867,	0.161558,	0.158299,	57.5801,	55.8287,	54.1138
0.0604099,	0.165931,	0.16259,	0.159299,	57.7539,	55.9913,	54.2655
0.0606099,	0.166998,	0.163624,	0.160302,	57.9275,	56.1537,	54.4171
0.0608099,	0.168069,	0.164662,	0.161307,	58.101,	56.316,	54.5685
0.0610099,	0.169142,	0.165702,	0.162315,	58.2745,	56.4782,	54.7197
0.0612099,	0.170219,	0.166746,	0.163326,	58.4478,	56.6402,	54.8708
0.0614099,	0.171299,	0.167792,	0.16434,	58.621,	56.802,	55.0217
0.0616099,	0.172382,	0.168842,	0.165356,	58.7941,	56.9637,	55.1724
0.0618099,	0.173468,	0.169894,	0.166375,	58.967,	57.1253,	55.3229
0.0620099,	0.174558,	0.17095,	0.167397,	59.1399,	57.2867,	55.4733
0.0622099,	0.17565,	0.172008,	0.168422,	59.3127,	57.448,	55.6235
0.0624099,	0.176746,	0.173069,	0.16945,	59.4853,	57.6091,	55.7735
0.0626099,	0.177845,	0.174134,	0.17048,	59.6579,	57.7701,	55.9233
0.0628099,	0.178947,	0.175201,	0.171513,	59.8303,	57.931,	56.073
0.0630099,	0.180053,	0.176271,	0.172549,	60.0026,	58.0917,	56.2225
0.0632099,	0.181161,	0.177344,	0.173588,	60.1748,	58.2523,	56.3718
0.0634099,	0.182273,	0.178421,	0.174629,	60.3469,	58.4127,	56.521
